# timestamp, loading image, state propagation, network inference, EKF update, total time
1455.835940293000021,2.82300,0.48800,28.85800,0.06800,32.23800
1455.869068448999997,2.69600,0.47800,32.50200,0.09800,35.77500
1455.902241292999861,2.26700,0.59000,35.87400,0.07400,38.80600
1455.935499293000021,1.84900,0.86600,38.64500,0.08700,41.44800
1455.968586448999986,2.70600,0.80700,32.74500,0.07100,36.33000
1456.001800605999961,2.29300,0.39600,32.01400,0.10200,34.80600
1456.034972398000036,2.92600,0.66900,36.11200,0.07800,39.78500
1456.068146292999927,2.06100,0.48600,34.05500,0.06300,36.66500
1456.101278241000045,2.30800,0.45400,32.46600,0.11800,35.34700
1456.134450240999968,3.35900,0.81600,34.72900,0.08500,38.99000
1456.167664292999916,3.17700,0.62200,35.79000,0.04600,39.63500
1456.200837241000045,2.80400,0.44400,32.92800,0.04200,36.21800
1456.234023050999895,2.47400,0.54600,32.59000,0.06300,35.67400
1456.267197051000039,2.82100,0.61100,31.42900,0.05300,34.91400
1456.300371051999946,2.68600,0.51500,33.27200,0.07100,36.54400
1456.333586155999910,2.39900,0.53700,30.44200,0.10300,33.48100
1456.366760102999933,2.68200,0.57900,28.68800,0.06300,32.01200
1456.399888102999967,2.62300,0.62900,36.51500,0.05800,39.82600
1456.433101998999973,2.87600,0.51200,36.15600,0.06500,39.60900
1456.466237051999997,2.63100,0.65900,35.16000,0.14100,38.59200
1456.499406999000030,2.67500,0.49800,31.52400,0.09600,34.79400
1456.532580998999947,2.94700,0.69400,34.87000,0.04800,38.56000
1456.565871925000010,2.61600,0.53100,32.90100,0.12700,36.17500
1456.599002559999917,2.67800,0.41000,28.85700,0.11500,32.06000
1456.632174820000046,2.57500,0.63900,33.27500,0.04500,36.53400
1456.665347507999968,2.11500,0.46100,34.31000,0.22100,37.10900
1456.698520455999869,2.71900,0.52300,34.60300,0.06600,37.91100
1456.731734611999855,2.63400,0.51800,30.85300,0.08900,34.09500
1456.764866976999883,2.43600,0.49000,27.57200,0.11400,30.61200
1456.798040820999859,3.30100,0.58600,36.96800,0.21100,41.06700
1456.831302821000008,2.75100,0.69100,31.90100,0.14500,35.49000
1456.864481663999868,3.18400,0.66300,38.07100,0.13300,42.05300
1456.897580059999882,3.20100,0.65300,31.10100,0.11600,35.07300
1456.930750903999979,2.36500,0.63400,35.62800,0.09100,38.72000
1456.963840747999939,2.13500,0.39300,34.80100,0.13200,37.46200
1457.030207747999839,2.95200,1.02100,37.25300,0.10400,41.33100
1457.063467695999861,2.61700,0.80600,39.43600,0.05400,42.91400
1457.096622799999977,1.97900,0.41500,31.87100,0.06000,34.32500
1457.129735903999972,2.17800,0.85200,34.47700,0.11100,37.61900
1457.162879799999928,2.13400,0.53600,33.90000,0.11100,36.68200
1457.229306747999999,2.70600,1.58600,35.43300,0.04100,39.76700
1457.262399748000007,2.18800,0.52400,33.81300,0.04300,36.56900
1457.295572799999945,2.37500,0.88400,28.14000,0.09500,31.49500
1457.328744799999868,1.94800,0.71100,33.50500,0.07800,36.24300
1457.362009747999991,2.62000,0.68300,29.07700,0.16000,32.54200
1457.395090955999876,1.97400,0.65200,32.28300,0.11200,35.02200
1457.428363851999848,2.09700,0.56500,35.14100,0.10500,37.90900
1457.494609695999998,2.49500,0.87700,34.33100,0.11700,37.82100
1457.527855695999961,2.25900,0.59900,33.95500,0.04500,36.85900
1457.561029748000010,1.97800,0.50900,34.14200,0.10300,36.73300
1457.594127695999987,2.20900,0.55100,32.03900,0.04800,34.84700
1457.627385748000052,2.62500,0.54900,31.24400,0.06100,34.48000
1457.660474747999842,3.06300,0.93200,32.81900,0.12100,36.93800
1457.726824851999936,1.99100,0.66800,33.96400,0.10700,36.73000
1457.759994955999900,2.08300,0.54700,33.13200,0.10900,35.87200
1457.793168695999839,2.40000,0.70000,30.18300,0.08700,33.37100
1457.826397592999911,2.65300,0.66500,30.89500,0.11100,34.32500
1457.859665593000045,3.61500,0.78500,30.81000,0.25900,35.47000
1457.892742644999998,2.08200,0.42700,29.95100,0.15600,32.61700
1457.925960801999963,2.33800,0.56100,30.37400,0.06600,33.33900
1457.959089696999854,2.13700,0.53200,33.13800,0.07000,35.87700
1458.025532268000006,1.88500,0.78700,32.94100,0.07000,35.68300
1458.058658268000045,2.22600,0.43900,30.57500,0.04500,33.28600
1458.091830319999872,2.37600,0.60700,30.34000,0.07600,33.40000
1458.125046735999831,2.61700,0.54100,33.14500,0.10500,36.40800
1458.158176319999939,2.46500,0.52300,30.54800,0.06300,33.59900
1458.191408749999937,2.61400,0.55000,32.18900,0.10500,35.45900
1458.224622905999922,2.06300,0.46400,32.53500,0.11400,35.17700
1458.257827801999838,2.31300,0.65300,32.45900,0.08900,35.51500
1458.290926801999831,2.13000,0.46200,32.16200,0.07500,34.83000
1458.324116687000014,2.26400,0.69100,34.44400,0.10000,37.50000
1458.357473071999948,2.88100,0.67700,36.26500,0.13800,39.96200
1458.390516696999839,3.02600,0.74300,35.56800,0.09000,39.42800
1458.423691372999883,2.54900,0.54300,37.06400,0.10700,40.26400
1458.490108186000043,3.09300,1.17600,33.51600,0.07700,37.86200
1458.523300134000010,2.36300,0.53900,33.96500,0.11500,36.98300
1458.589779994999844,2.20900,1.01000,30.90300,0.09200,34.21400
1458.622809047999908,2.45000,0.72400,36.65800,0.06700,39.90000
1458.655990150999969,2.58500,0.67400,35.21800,0.07800,38.55600
1458.689195202999827,2.30000,0.61300,32.16800,0.11400,35.19600
1458.722364100000050,2.36000,0.75500,31.77100,0.10300,34.99000
1458.755580126000041,2.78700,0.60400,34.27200,0.12500,37.78800
1458.821926072999986,2.02000,1.00800,35.09400,0.04500,38.16800
1458.888349072999972,2.92200,1.30800,34.37900,0.06700,38.67700
1458.954657126000029,2.26000,1.03400,33.25000,0.10300,36.64700
1459.054137124999897,1.94400,1.39100,37.10200,0.05500,40.49200
1459.087394421999988,2.20900,0.49900,34.84400,0.04900,37.60100
1459.120616524999832,1.91800,0.42600,34.59900,0.13100,37.07500
1459.153782316999923,2.70900,0.68600,36.39200,0.10000,39.88800
1459.186914316999946,2.00900,0.58800,35.73400,0.12600,38.45700
1459.253259369000034,1.83200,0.83800,31.16200,0.08700,33.92000
1459.286578428999974,2.05100,0.54500,34.17600,0.10100,36.87400
1459.319665376999865,2.35000,0.55800,37.71600,0.04800,40.67300
1459.352879585999972,2.89100,0.58500,37.41300,0.07300,40.96300
1459.386051584999905,2.56300,0.57600,35.56800,0.06700,38.77400
1459.419224480999901,2.21400,0.63800,40.94000,0.11200,43.90500
1459.452512701999922,2.11000,0.58200,35.18600,0.11500,37.99400
1459.485579545999826,2.15900,0.62700,34.83600,0.07800,37.70100
1459.518834493999975,4.00100,0.97800,42.74300,0.10600,47.83000
1459.551926493999872,5.01800,1.00900,46.75000,0.12900,52.90700
1459.618272389999902,2.00100,1.15500,41.91800,0.22000,45.29500
1459.651444702999925,3.63400,1.96200,59.85900,0.15400,65.61000
1459.684618701999852,6.34200,0.90600,87.18400,0.08800,94.52100
1459.750964493999845,5.24200,1.33400,44.81400,0.07100,51.46200
1459.784137651000037,4.42000,0.80800,53.42100,0.10900,58.75900
1459.883657160999974,3.14800,1.56200,43.98400,0.10400,48.79900
1459.916829702999848,2.52600,0.51200,36.21400,0.04400,39.29700
1459.950081597999997,3.65000,1.19600,31.88500,0.11000,36.84200
1459.983175701999926,2.94700,0.59700,33.04200,0.09200,36.67900
1460.016436493999890,2.79000,0.52200,33.06500,0.09500,36.47300
1460.082693545999973,2.51500,0.88700,33.10400,0.05000,36.55600
1460.149040545999924,3.28500,1.11000,32.82300,0.07600,37.29500
1460.182253753999930,3.03100,0.73200,33.20600,0.05800,37.02800
1460.215426703000048,2.87400,0.44700,35.60800,0.07400,39.00400
1460.248604597999929,3.30800,0.86600,35.09300,0.05700,39.32400
1460.281803597999897,2.29200,0.58100,33.15000,0.07000,36.09400
1460.314946598000006,2.97400,0.79100,32.84800,0.04900,36.66300
